customer_id,first_name,last_name,email,loyalty_tier
CUST5000,Customer,0,cust0@email.com,BRONZE
CUST5001,Customer,1,cust1@email.com,BRONZE
CUST5002,Customer,2,cust2@email.com,GOLD
CUST5003,Customer,3,cust3@email.com,BRONZE
CUST5004,Customer,4,cust4@email.com,PLATINUM
CUST5005,Customer,5,cust5@email.com,BRONZE
CUST5006,Customer,6,cust6@email.com,BRONZE
CUST5007,Customer,7,cust7@email.com,BRONZE
CUST5008,Customer,8,cust8@email.com,GOLD
CUST5009,Customer,9,cust9@email.com,PLATINUM
CUST5010,Customer,10,cust10@email.com,PLATINUM
CUST5011,Customer,11,cust11@email.com,PLATINUM
CUST5012,Customer,12,cust12@email.com,BRONZE
CUST5013,Customer,13,cust13@email.com,SILVER
CUST5014,Customer,14,cust14@email.com,PLATINUM
CUST5015,Customer,15,cust15@email.com,SILVER
CUST5016,Customer,16,cust16@email.com,SILVER
CUST5017,Customer,17,cust17@email.com,PLATINUM
CUST5018,Customer,18,cust18@email.com,BRONZE
CUST5019,Customer,19,cust19@email.com,PLATINUM
CUST5020,Customer,20,cust20@email.com,PLATINUM
CUST5021,Customer,21,cust21@email.com,PLATINUM
CUST5022,Customer,22,cust22@email.com,SILVER
CUST5023,Customer,23,cust23@email.com,SILVER
CUST5024,Customer,24,cust24@email.com,BRONZE
CUST5025,Customer,25,cust25@email.com,GOLD
CUST5026,Customer,26,cust26@email.com,BRONZE
CUST5027,Customer,27,cust27@email.com,BRONZE
CUST5028,Customer,28,cust28@email.com,BRONZE
CUST5029,Customer,29,cust29@email.com,BRONZE
CUST5030,Customer,30,cust30@email.com,SILVER
CUST5031,Customer,31,cust31@email.com,BRONZE
CUST5032,Customer,32,cust32@email.com,BRONZE
CUST5033,Customer,33,cust33@email.com,PLATINUM
CUST5034,Customer,34,cust34@email.com,PLATINUM
CUST5035,Customer,35,cust35@email.com,BRONZE
CUST5036,Customer,36,cust36@email.com,BRONZE
CUST5037,Customer,37,cust37@email.com,SILVER
CUST5038,Customer,38,cust38@email.com,GOLD
CUST5039,Customer,39,cust39@email.com,BRONZE
CUST5040,Customer,40,cust40@email.com,PLATINUM
CUST5041,Customer,41,cust41@email.com,GOLD
CUST5042,Customer,42,cust42@email.com,SILVER
CUST5043,Customer,43,cust43@email.com,GOLD
CUST5044,Customer,44,cust44@email.com,PLATINUM
CUST5045,Customer,45,cust45@email.com,PLATINUM
CUST5046,Customer,46,cust46@email.com,PLATINUM
CUST5047,Customer,47,cust47@email.com,SILVER
CUST5048,Customer,48,cust48@email.com,BRONZE
CUST5049,Customer,49,cust49@email.com,SILVER
CUST5050,Customer,50,cust50@email.com,GOLD
CUST5051,Customer,51,cust51@email.com,SILVER
CUST5052,Customer,52,cust52@email.com,SILVER
CUST5053,Customer,53,cust53@email.com,BRONZE
CUST5054,Customer,54,cust54@email.com,GOLD
CUST5055,Customer,55,cust55@email.com,SILVER
CUST5056,Customer,56,cust56@email.com,PLATINUM
CUST5057,Customer,57,cust57@email.com,BRONZE
CUST5058,Customer,58,cust58@email.com,BRONZE
CUST5059,Customer,59,cust59@email.com,SILVER
CUST5060,Customer,60,cust60@email.com,SILVER
CUST5061,Customer,61,cust61@email.com,BRONZE
CUST5062,Customer,62,cust62@email.com,GOLD
CUST5063,Customer,63,cust63@email.com,GOLD
CUST5064,Customer,64,cust64@email.com,BRONZE
CUST5065,Customer,65,cust65@email.com,SILVER
CUST5066,Customer,66,cust66@email.com,PLATINUM
CUST5067,Customer,67,cust67@email.com,GOLD
CUST5068,Customer,68,cust68@email.com,GOLD
CUST5069,Customer,69,cust69@email.com,GOLD
CUST5070,Customer,70,cust70@email.com,SILVER
CUST5071,Customer,71,cust71@email.com,PLATINUM
CUST5072,Customer,72,cust72@email.com,PLATINUM
